feature,mean_importance
DIST_diff_DRAUGHT,-0.005785833659666895
VOLUME,-0.0029750584515790155
DIST_ratio_hour,-0.0014360834971320013
PORT_SIZE,-0.0007180593337787533
hour,-0.0003080572497212053
random_feature,-0.0001085006542784317
ATA_LT,-5.6389656648558883e-05
V_WIND,-8.094324951701815e-06
BN,3.2343094211917386e-05
minute,0.00019043743004352188
day,0.0001985667450191686
DIST_ratio_DEPTH,0.0002489181933135187
DEPTH,0.000374906410962228
U_WIND,0.0005879583278203925
DIST_ratio_minute,0.0008538768754812409
ARI_PO,0.0009691588803793172
BREADTH,0.001496868582680544
BUILT,0.0015183372234490288
month,0.0015937977992186436
AIR_TEMPERATURE,0.0017481709724610716
DIST_diff_ARI_PO,0.0018709717320265495
DRAUGHT,0.002315615583051245
DIST_diff_PORT_SIZE,0.0029434362946649806
PORT_SIZE_ratio_DIST,0.004904759792317104
BREADTH_sum_DIST,0.004941581822677477
year,0.0050682364414655675
LENGTH,0.008047128527825676
DIST_ratio_PORT_SIZE,0.011705478391700285
ARI_CO,0.01331302749100347
SHIP_TYPE_CATEGORY,0.02391202232218792
WEEKEND,0.02405577795217968
weekday,0.039474015545624686
DIST_ratio_ARI_CO,0.04817786334091523
DEADWEIGHT,0.06849542820130446
DIST,0.07575106519816457
GT,0.08012422088074436
