name,model_type,metric_type,metric_value,train_time
1_Default_LightGBM,LightGBM,mae,53.675401131891114,223.61
2_Default_Xgboost,Xgboost,mae,55.539807543640045,103.24
3_Default_CatBoost,CatBoost,mae,56.135599224149686,299.61
4_Default_RandomForest,Random Forest,mae,61.949106817390444,3099.8
14_LightGBM,LightGBM,mae,56.090777914209866,43.15
5_Xgboost,Xgboost,mae,56.37502301800282,42.96
23_CatBoost,CatBoost,mae,55.80175845437718,173.91
32_RandomForest,Random Forest,mae,62.15528982019192,460.51
15_LightGBM,LightGBM,mae,55.0627729070097,98.22
6_Xgboost,Xgboost,mae,58.11887764270886,39.67
24_CatBoost,CatBoost,mae,56.51610606230265,116.2
33_RandomForest,Random Forest,mae,59.92331373547748,177.28
16_LightGBM,LightGBM,mae,54.30330223720478,237.71
7_Xgboost,Xgboost,mae,54.95933085096907,67.56
25_CatBoost,CatBoost,mae,46.297609386977165,2054.94
34_RandomForest,Random Forest,mae,63.98887568410023,102.32
17_LightGBM,LightGBM,mae,53.66981234858225,261.98
8_Xgboost,Xgboost,mae,58.514545783110925,80.11
26_CatBoost,CatBoost,mae,46.79684878178273,1826.69
35_RandomForest,Random Forest,mae,61.997387047950575,192.78
18_LightGBM,LightGBM,mae,57.175041000160576,44.7
9_Xgboost,Xgboost,mae,56.63469819770859,109.69
27_CatBoost,CatBoost,mae,56.54175250825749,624.79
36_RandomForest,Random Forest,mae,63.8719531467618,178.63
19_LightGBM,LightGBM,mae,54.31299792614945,110.62
10_Xgboost,Xgboost,mae,57.42321321400652,93.4
28_CatBoost,CatBoost,mae,46.29520650696091,3128.49
37_RandomForest,Random Forest,mae,62.28250911288339,198.54
20_LightGBM,LightGBM,mae,53.625566077547006,63.53
11_Xgboost,Xgboost,mae,55.54583225799042,41.42
29_CatBoost,CatBoost,mae,46.06719242525143,547.39
38_RandomForest,Random Forest,mae,59.81484074442743,350.34
21_LightGBM,LightGBM,mae,53.565824298989185,83.11
12_Xgboost,Xgboost,mae,56.50991869103596,57.18
30_CatBoost,CatBoost,mae,55.587526425971106,223.3
39_RandomForest,Random Forest,mae,63.95554361600221,154.1
22_LightGBM,LightGBM,mae,54.24231233661372,60.64
13_Xgboost,Xgboost,mae,56.663629386637254,127.26
31_CatBoost,CatBoost,mae,46.18998137808008,3854.8
40_RandomForest,Random Forest,mae,62.314536105266775,183.16
29_CatBoost_GoldenFeatures,CatBoost,mae,45.85361560391237,600.69
31_CatBoost_GoldenFeatures,CatBoost,mae,46.26538720595929,3488.19
28_CatBoost_GoldenFeatures,CatBoost,mae,47.853934389270286,1115.97
29_CatBoost_KMeansFeatures,CatBoost,mae,46.43110457788777,583.54
31_CatBoost_KMeansFeatures,CatBoost,mae,46.49034966994536,4075.26
28_CatBoost_KMeansFeatures,CatBoost,mae,46.698498308553326,1599.57
29_CatBoost_GoldenFeatures_RandomFeature,CatBoost,mae,46.05039694194041,541.78
29_CatBoost_GoldenFeatures_SelectedFeatures,CatBoost,mae,45.337318724496505,601.64
21_LightGBM_SelectedFeatures,LightGBM,mae,52.95535581338856,101.28
7_Xgboost_SelectedFeatures,Xgboost,mae,54.71108858426014,109.2
38_RandomForest_SelectedFeatures,Random Forest,mae,59.81159945394441,162.66
41_CatBoost_GoldenFeatures_SelectedFeatures,CatBoost,mae,45.39851578821488,1076.11
42_CatBoost_GoldenFeatures,CatBoost,mae,45.97974909114596,976.11
43_CatBoost,CatBoost,mae,46.08818750274576,761.73
44_LightGBM_SelectedFeatures,LightGBM,mae,53.113953670841546,111.38
45_LightGBM_SelectedFeatures,LightGBM,mae,52.85518051670432,106.22
46_LightGBM,LightGBM,mae,53.675212052305746,91.85
47_LightGBM,LightGBM,mae,53.41975404033826,93.13
48_LightGBM,LightGBM,mae,53.76064285974245,67.41
49_Xgboost_SelectedFeatures,Xgboost,mae,54.91058531193936,75.68
50_Xgboost,Xgboost,mae,55.102828937434204,74.69
51_Xgboost,Xgboost,mae,55.46522018749887,177.27
52_Xgboost,Xgboost,mae,55.60297180183585,98.73
53_RandomForest_SelectedFeatures,Random Forest,mae,59.817696398563186,224.11
54_RandomForest_SelectedFeatures,Random Forest,mae,59.86930568161296,237.64
55_RandomForest,Random Forest,mae,59.59407401677174,209.8
56_RandomForest,Random Forest,mae,59.821969011143125,304.96
57_RandomForest,Random Forest,mae,59.875219400615705,236.87
58_CatBoost_GoldenFeatures_SelectedFeatures,CatBoost,mae,45.37325660639019,2129.88
59_LightGBM_SelectedFeatures,LightGBM,mae,52.65964190686419,217.65
60_LightGBM_SelectedFeatures,LightGBM,mae,53.432394464797596,55.5
61_LightGBM_SelectedFeatures,LightGBM,mae,52.79453660292256,176.12
62_LightGBM_SelectedFeatures,LightGBM,mae,53.43696222893622,56.69
