iter	RMSE
0	168.7434889
1	166.6574099
2	165.0017841
3	163.4803152
4	162.1962807
5	161.0591006
6	160.1739802
7	159.3889896
8	158.6622136
9	158.0759322
10	157.6089762
11	157.1024105
12	156.6624822
13	156.3155659
14	155.9641433
15	155.538284
16	155.260679
17	154.9722068
18	154.7000794
19	154.4122906
20	154.1997442
21	153.9424299
22	153.7820544
23	153.6077053
24	153.4327432
25	153.2581431
26	153.095109
27	152.9861668
28	152.8689757
29	152.75848
30	152.6471153
31	152.4811702
32	152.3702813
33	152.2565153
34	152.1833079
35	152.0912079
36	151.9840575
37	151.8696437
38	151.7940685
39	151.6948733
40	151.5971861
41	151.526493
42	151.4343908
43	151.3447755
44	151.2766017
45	151.1834679
46	151.0690933
47	151.018117
48	150.9575241
49	150.9157904
50	150.8681069
51	150.8137987
52	150.7794692
53	150.6963419
54	150.6011817
55	150.5716007
56	150.5219445
57	150.471033
58	150.4262398
59	150.3677091
60	150.3266905
61	150.2846946
62	150.259624
63	150.2201851
64	150.181525
65	150.1383366
66	150.0966009
67	150.0542858
68	150.020114
69	149.9834046
70	149.9392609
71	149.839786
72	149.8040735
73	149.743685
74	149.6648364
75	149.6195012
76	149.5952542
77	149.5546946
78	149.5150121
79	149.4676112
80	149.425709
81	149.3954954
82	149.3592953
83	149.3283132
84	149.2541701
85	149.2214003
86	149.1536655
87	149.1079073
88	149.086492
89	149.0568721
90	149.0003284
91	148.9659006
92	148.9409298
93	148.9091134
94	148.8261975
95	148.7931283
96	148.7734744
97	148.7340135
98	148.693116
99	148.6562293
100	148.6339372
101	148.6050423
102	148.5830017
103	148.5482511
104	148.5304019
105	148.5122945
106	148.4959533
107	148.4713042
108	148.4356556
109	148.409596
110	148.362741
111	148.3265826
112	148.3106799
113	148.2942149
114	148.2588427
115	148.1868536
116	148.1522375
117	148.1247563
118	148.1107108
119	148.0782876
120	148.0193013
121	147.9600737
122	147.9383566
123	147.9131904
124	147.8945824
125	147.8788203
126	147.8349681
127	147.784751
128	147.7551971
129	147.7198953
130	147.6862879
131	147.6684907
132	147.5940109
133	147.5417037
134	147.5233959
135	147.505114
136	147.4897937
137	147.4631534
138	147.4150334
139	147.4049425
140	147.3875806
141	147.3621543
142	147.3392091
143	147.3138602
144	147.2926906
145	147.2674284
146	147.2503501
147	147.2440562
148	147.2260693
149	147.2029128
150	147.1771178
151	147.1579682
152	147.1375027
153	147.1125645
154	147.0797906
155	147.0585527
156	147.0323763
157	147.0171491
158	146.9764232
159	146.9557008
160	146.9206686
161	146.8898016
162	146.8554794
163	146.8281926
164	146.8031247
165	146.772323
166	146.7496509
167	146.7297763
168	146.6953239
169	146.6762226
170	146.6535547
171	146.636892
172	146.6234934
173	146.5961026
174	146.5559056
175	146.5443778
176	146.5339792
177	146.5210056
178	146.4909536
179	146.4707333
180	146.4515514
181	146.4414625
182	146.393992
183	146.3753964
184	146.3614483
185	146.3229116
186	146.3048192
187	146.2496062
188	146.2265768
189	146.2106107
190	146.195494
191	146.180716
192	146.1639788
193	146.1480851
194	146.1406008
195	146.1199689
196	146.0851315
197	146.0686581
198	146.0501066
199	146.0359342
200	146.0145189
201	146.0017911
202	145.973317
203	145.9245062
204	145.88488
205	145.8680067
206	145.8441103
207	145.8193784
208	145.8026717
209	145.7821915
210	145.7448741
211	145.7193712
212	145.6989883
213	145.678104
214	145.6653979
215	145.6502854
216	145.6333994
217	145.6294502
218	145.6264023
219	145.6246305
220	145.5939615
221	145.592288
222	145.5903883
223	145.5888899
224	145.5874706
225	145.5643245
226	145.5449407
