iter	Passed	Remaining
0	157	156912
1	203	101562
2	248	82599
3	291	72570
4	337	67233
5	381	63119
6	426	60468
7	470	58357
8	519	57239
9	564	55853
10	611	55003
11	656	54019
12	704	53507
13	750	52855
14	800	52568
15	848	52169
16	896	51815
17	944	51502
18	987	51009
19	1033	50625
20	1077	50233
21	1123	49937
22	1168	49627
23	1215	49444
24	1260	49140
25	1300	48709
26	1345	48503
27	1384	48072
28	1432	47962
29	1477	47779
30	1523	47607
31	1570	47499
32	1614	47303
33	1658	47124
34	1703	46954
35	1749	46843
36	1796	46769
37	1843	46662
38	1887	46507
39	1930	46342
40	1972	46135
41	2014	45948
42	2062	45912
43	2103	45710
44	2148	45593
45	2190	45434
46	2237	45362
47	2279	45210
48	2323	45098
49	2369	45019
50	2413	44901
51	2458	44824
52	2502	44709
53	2545	44598
54	2588	44482
55	2636	44437
56	2681	44361
57	2723	44229
58	2766	44116
59	2813	44079
60	2857	43990
61	2902	43909
62	2940	43740
63	2985	43656
64	3028	43559
65	3068	43426
66	3108	43287
67	3145	43112
68	3191	43066
69	3234	42978
70	3280	42923
71	3322	42823
72	3360	42678
73	3406	42624
74	3451	42564
75	3494	42487
76	3531	42335
77	3572	42229
78	3611	42102
79	3652	42003
80	3697	41945
81	3743	41907
82	3787	41842
83	3829	41763
84	3871	41676
85	3914	41604
86	3955	41505
87	4002	41480
88	4044	41395
89	4087	41324
90	4130	41260
91	4175	41205
92	4219	41153
93	4268	41141
94	4311	41075
95	4359	41054
96	4402	40986
97	4445	40916
98	4491	40876
99	4537	40839
100	4577	40740
101	4623	40707
102	4666	40638
103	4714	40613
104	4756	40543
105	4795	40449
106	4836	40367
107	4883	40333
108	4928	40287
109	4969	40209
110	5014	40157
111	5056	40092
112	5098	40019
113	5138	39934
114	5181	39872
115	5230	39861
116	5276	39818
117	5319	39762
118	5359	39675
119	5404	39630
120	5449	39584
121	5492	39525
122	5541	39508
123	5588	39481
124	5630	39411
125	5669	39327
126	5715	39291
127	5759	39235
128	5797	39147
129	5839	39080
130	5879	39004
131	5921	38938
132	5963	38874
133	6006	38818
134	6043	38723
135	6087	38676
136	6125	38588
137	6170	38542
138	6211	38472
139	6252	38407
140	6292	38333
141	6335	38278
142	6378	38228
143	6421	38171
144	6464	38121
145	6508	38073
146	6546	37988
147	6588	37926
148	6625	37839
149	6666	37776
150	6712	37742
151	6754	37684
152	6799	37641
153	6844	37597
154	6889	37556
155	6933	37511
156	6973	37446
157	7009	37356
158	7049	37289
159	7097	37260
160	7141	37216
161	7181	37148
162	7227	37111
163	7268	37051
164	7312	37003
165	7355	36956
166	7395	36890
167	7439	36842
168	7487	36818
169	7538	36803
170	7577	36737
171	7621	36690
172	7662	36631
173	7705	36577
174	7747	36524
175	7789	36468
176	7830	36407
177	7872	36352
178	7916	36309
179	7956	36245
180	7998	36193
181	8039	36133
182	8088	36111
183	8129	36053
184	8170	35994
185	8211	35935
186	8253	35880
187	8295	35830
188	8337	35775
189	8376	35711
190	8417	35651
191	8460	35605
192	8504	35561
193	8547	35513
194	8593	35475
195	8639	35439
196	8683	35393
197	8726	35347
198	8768	35292
199	8808	35233
200	8851	35187
201	8894	35136
202	8936	35084
203	8975	35023
204	9026	35005
205	9070	34960
206	9112	34910
207	9154	34856
208	9199	34815
209	9250	34797
210	9297	34768
211	9349	34750
212	9395	34713
213	9441	34678
214	9485	34632
215	9530	34593
216	9571	34537
217	9611	34479
218	9650	34415
219	9688	34349
220	9735	34316
221	9780	34275
222	9815	34200
223	9852	34132
224	9890	34065
225	9935	34028
226	9977	33974
227	10017	33919
228	10057	33861
229	10097	33803
230	10141	33762
231	10183	33710
232	10225	33659
233	10261	33592
234	10296	33517
235	10341	33477
236	10380	33418
237	10423	33374
238	10471	33341
239	10511	33286
240	10558	33251
241	10600	33203
242	10638	33141
243	10681	33096
244	10728	33060
245	10772	33019
246	10818	32982
247	10863	32940
248	10906	32893
249	10952	32856
250	10997	32817
251	11045	32786
252	11091	32747
253	11134	32702
254	11171	32639
255	11214	32593
256	11267	32573
257	11315	32543
258	11360	32503
259	11409	32473
260	11455	32433
261	11499	32392
262	11542	32345
263	11584	32295
264	11625	32243
265	11672	32209
266	11718	32171
267	11759	32118
268	11803	32075
269	11844	32024
270	11893	31992
271	11935	31945
272	11971	31880
273	12017	31842
274	12065	31808
275	12107	31760
276	12151	31718
277	12197	31679
278	12244	31643
279	12290	31604
280	12331	31553
281	12376	31511
282	12419	31466
283	12464	31423
284	12509	31384
285	12555	31343
286	12604	31312
287	12647	31267
288	12687	31213
289	12730	31167
290	12776	31128
291	12826	31100
292	12872	31061
293	12919	31023
294	12968	30992
295	13014	30952
296	13064	30924
297	13105	30871
298	13141	30810
299	13187	30771
300	13227	30718
301	13269	30668
302	13316	30632
303	13358	30582
304	13405	30546
305	13446	30495
306	13489	30449
307	13523	30383
308	13559	30323
309	13599	30269
310	13638	30216
311	13680	30168
312	13728	30133
313	13772	30088
314	13811	30034
315	13851	29982
316	13895	29938
317	13932	29881
318	13973	29830
319	14017	29786
320	14055	29730
321	14098	29686
322	14142	29641
323	14180	29586
324	14226	29546
325	14264	29492
326	14309	29449
327	14353	29406
328	14394	29358
329	14434	29306
330	14476	29259
331	14516	29207
332	14560	29164
333	14606	29125
334	14645	29073
335	14693	29036
336	14742	29003
337	14783	28955
338	14825	28906
339	14862	28850
340	14903	28801
341	14942	28749
342	14985	28703
343	15028	28658
344	15070	28612
345	15111	28563
346	15151	28512
347	15191	28461
348	15233	28415
349	15275	28369
350	15323	28332
351	15369	28294
352	15411	28247
353	15460	28212
354	15504	28170
355	15550	28130
356	15592	28084
357	15645	28056
358	15690	28016
359	15739	27981
360	15785	27941
361	15831	27901
362	15876	27860
363	15916	27810
364	15957	27762
365	16004	27724
366	16047	27678
367	16094	27639
368	16143	27606
369	16187	27561
370	16235	27525
371	16274	27473
372	16314	27424
373	16361	27386
374	16402	27337
375	16438	27280
376	16477	27228
377	16519	27182
378	16560	27133
379	16606	27094
380	16651	27052
381	16691	27004
382	16734	26958
383	16778	26914
384	16817	26864
385	16854	26810
386	16896	26763
387	16936	26714
388	16976	26664
389	17018	26618
390	17058	26568
391	17101	26525
392	17148	26485
393	17189	26437
394	17231	26392
395	17273	26347
396	17319	26306
397	17365	26265
398	17414	26230
399	17458	26188
400	17497	26137
401	17542	26095
402	17586	26052
403	17629	26007
404	17676	25968
405	17721	25926
406	17759	25876
407	17807	25838
408	17852	25796
409	17890	25744
410	17926	25690
411	17971	25648
412	18012	25601
413	18052	25552
414	18093	25505
415	18136	25460
416	18178	25414
